x,z_upper,z_lower,delta
4.471571906354514958e+00,3.520826189987775745e-01,-2.404170392268724643e-01,9.229789607095718884e-02
4.494983277591972914e+00,3.495140217579196795e-01,-2.388667159740680002e-01,9.271194295771664762e-02
4.518394648829430871e+00,3.468935750053437905e-01,-2.372778420149276035e-01,9.312568188696579430e-02
4.541806020066889715e+00,3.442638738872486615e-01,-2.356889680557871236e-01,9.353911468162885712e-02
4.565217391304347672e+00,3.416341727691535879e-01,-2.341000940966467270e-01,9.395224314450177638e-02
4.588628762541805628e+00,3.390044716510585143e-01,-2.325112201375063026e-01,9.436506905857657002e-02
4.612040133779263584e+00,3.363747705329634408e-01,-2.309016036774293457e-01,9.477759418735876018e-02
4.635451505016722429e+00,3.336967891922211771e-01,-2.292546710594206283e-01,9.518982027517816635e-02
4.658862876254180385e+00,3.310116442295391037e-01,-2.276077384414119942e-01,9.560174904749309255e-02
4.682274247491638342e+00,3.283264992668570303e-01,-2.259608058234033323e-01,9.601338221118836669e-02
4.705685618729096298e+00,3.256413543041749570e-01,-2.243138732053946705e-01,9.642472145486705171e-02
4.729096989966555142e+00,3.229562093414927726e-01,-2.226465168168103304e-01,9.683576844913628634e-02
4.752508361204013099e+00,3.202190103818073896e-01,-2.209426752430759533e-01,9.724652484688700582e-02
4.775919732441471055e+00,3.174754793344689019e-01,-2.192388336693415762e-01,9.765699228356834738e-02
4.799331103678929011e+00,3.147319482871303586e-01,-2.175349920956071992e-01,9.806717237745612992e-02
4.822742474916387856e+00,3.119884172397917599e-01,-2.158311505218727666e-01,9.847706672991611565e-02
4.846153846153845812e+00,3.092448861924532166e-01,-2.141078199241118196e-01,9.888667692566183165e-02
4.869565217391303769e+00,3.064517195614331335e-01,-2.123496924338728054e-01,9.929600453300742313e-02
4.892976588628762613e+00,3.036537100690397950e-01,-2.105915649436337633e-01,9.970505110411537197e-02
4.916387959866220569e+00,3.008557005766465675e-01,-2.088334374533947491e-01,1.001138181752391082e-01
4.939799331103678526e+00,2.980576910842532845e-01,-2.070753099631557625e-01,1.005223072669612777e-01
4.963210702341136482e+00,2.952596815918600570e-01,-2.052972411385633189e-01,1.009305198844269308e-01
4.986622073578595327e+00,2.924120043645495048e-01,-2.034834476710987716e-01,1.013384575175723529e-01
5.010033444816053283e+00,2.895605923805887327e-01,-2.016696542036343076e-01,1.017461216413493436e-01
5.033444816053511239e+00,2.867091803966279606e-01,-1.998558607361698436e-01,1.021535137159453599e-01
5.056856187290969196e+00,2.838577684126671885e-01,-1.980420672687053796e-01,1.025606351869990801e-01
5.080267558528428040e+00,2.810063564287063609e-01,-1.962093907306082796e-01,1.029674874858122202e-01
5.103678929765885997e+00,2.781044297223237427e-01,-1.943426382362407334e-01,1.033740720295568682e-01
5.127090301003343953e+00,2.751997896054074189e-01,-1.924758857418731872e-01,1.037803902214794322e-01
