x,z_upper,z_lower,delta
6.625418060200668258e+00,6.794011465587468379e-02,-5.139572333856889247e-02,1.292860224027735927e-01
6.648829431438126214e+00,6.433613235692120513e-02,-4.882636788928661209e-02,1.296775017608984004e-01
6.672240802675585059e+00,6.073215005796758076e-02,-4.625701244000422763e-02,1.300687842469003819e-01
6.695652173913043015e+00,5.712355344743855201e-02,-4.367918182066737876e-02,1.304598706500469385e-01
6.719063545150500971e+00,5.346537248544134396e-02,-4.105701663804823404e-02,1.308507617536935896e-01
6.742474916387958928e+00,4.980719152344413592e-02,-3.843485145542908238e-02,1.312414583353483100e-01
6.765886287625417772e+00,4.614901056144679603e-02,-3.581268627280983358e-02,1.316319611667354783e-01
6.789297658862875728e+00,4.249082959944958798e-02,-3.319052109019068886e-02,1.320222710138586331e-01
6.812709030100333685e+00,3.879073321014177983e-02,-3.052026258033452982e-02,1.324123886370626724e-01
6.836120401337792529e+00,3.508201946539087068e-02,-2.784352012698353140e-02,1.328023147910947777e-01
6.859531772575250486e+00,3.137330572064010031e-02,-2.516677767363263360e-02,1.331920502251646432e-01
6.882943143812708442e+00,2.766225748621966782e-02,-2.248664271972515907e-02,1.335815956830040674e-01
6.906354515050166398e+00,2.390581733042783028e-02,-1.976685587633469909e-02,1.339709519029252671e-01
6.929765886287625243e+00,2.014937717463585048e-02,-1.704706903294413850e-02,1.343601196178785817e-01
6.953177257525083199e+00,1.639293701884401294e-02,-1.432728218955367852e-02,1.347490995555096216e-01
6.976588628762541155e+00,1.260921198687530408e-02,-1.157651240973000921e-02,1.351378924382152513e-01
7.000000000000000000e+00,8.819999999999999715e-03,-8.819999999999999715e-03,1.355264989831989619e-01
