x,delta_upper,delta_lower
3.429718875502008046e+00,7.173242206677572785e-02,7.173242206677572785e-02
3.457831325301204739e+00,7.223610277916224509e-02,7.223610277916224509e-02
3.485943775100401432e+00,7.273919882921843494e-02,7.273919882921843494e-02
3.514056224899598124e+00,7.324171560255150759e-02,7.324171560255150759e-02
3.542168674698795261e+00,7.374365839249384658e-02,7.374365839249384658e-02
3.570281124497991954e+00,7.424503240240337698e-02,7.424503240240337698e-02
3.598393574297188646e+00,7.474584274788903526e-02,7.474584274788903526e-02
3.626506024096385339e+00,7.524609445896418558e-02,7.524609445896418558e-02
3.654618473895582031e+00,7.574579248213093863e-02,7.574579248213093863e-02
3.682730923694779168e+00,7.624494168239803749e-02,7.624494168239803749e-02
3.710843373493975861e+00,7.674354684523504444e-02,7.674354684523504444e-02
3.738955823293172553e+00,7.724161267846518797e-02,7.724161267846518797e-02
3.767068273092369246e+00,7.773914381409920138e-02,7.773914381409920138e-02
3.795180722891565939e+00,7.823614481011262334e-02,7.823614481011262334e-02
3.823293172690763075e+00,7.873262015216844767e-02,7.873262015216844767e-02
3.851405622489959768e+00,7.922857425528750941e-02,7.922857425528750941e-02
3.879518072289156461e+00,7.972401146546810591e-02,7.972401146546810591e-02
3.907630522088353153e+00,8.021893606125732323e-02,8.021893606125732323e-02
3.935742971887550290e+00,8.071335225527535850e-02,8.071335225527535850e-02
3.963855421686746983e+00,8.120726419569473942e-02,8.120726419569473942e-02
3.991967871485943675e+00,8.170067596767630058e-02,8.170067596767630058e-02
4.020080321285140812e+00,8.219359159476304078e-02,8.219359159476304078e-02
4.048192771084337060e+00,8.268601504023372073e-02,8.268601504023372073e-02
4.076305220883534197e+00,8.317795020841770026e-02,8.317795020841770026e-02
4.104417670682730446e+00,8.366940094597181965e-02,8.366940094597181965e-02
4.132530120481927582e+00,8.416037104312157346e-02,8.416037104312157346e-02
4.160642570281124719e+00,8.465086423486689604e-02,8.465086423486689604e-02
4.188755020080320968e+00,8.514088420215433495e-02,8.514088420215433495e-02
4.216867469879518104e+00,8.563043457301691697e-02,8.563043457301691697e-02
4.244979919678714353e+00,8.611951892368201189e-02,8.611951892368201189e-02
4.273092369477911490e+00,8.660814077964940072e-02,8.660814077964940072e-02
4.301204819277108626e+00,8.709630361673950660e-02,8.709630361673950660e-02
